etag,cow_id,stock_group,lact,bdat,inventory_lact,in_anchor_inventory
UK740651727212,,youngstock,0,2023-05-21,None,False
UK740651727226,,youngstock,0,2023-05-27,None,False
UK740651727751,,youngstock,0,2023-06-10,None,False
UK740651727758,,youngstock,0,2023-06-15,None,False
UK740651727793,,youngstock,0,2023-06-29,None,False
UK740651727842,727842,youngstock,0,2023-07-13,1,True
UK752261109364,200,youngstock,0,2022-03-16,None,False
UK752261109406,755,youngstock,0,2022-04-29,None,False
UK752261109427,746,youngstock,0,2022-05-22,None,False
UK752261109434,920,youngstock,0,2022-05-27,None,False
UK752261109658,109658,youngstock,1,2022-08-23,None,False
UK752261109917,520,youngstock,0,2022-12-11,None,False
UK752261109966,109966,youngstock,0,2023-01-01,2,True
UK752261109987,781,youngstock,0,2023-01-10,None,False
UK752261109994,916,youngstock,0,2023-01-17,None,False
UK752261110001,110001,youngstock,0,2023-01-23,None,False
UK752261110008,510,youngstock,0,2023-01-28,None,False
UK752261110015,234,youngstock,0,2023-02-03,None,False
UK752261110022,110022,youngstock,0,2023-02-06,None,False
UK752261110036,110036,youngstock,0,2023-02-14,None,False
UK752261110043,110043,youngstock,0,2023-02-17,1,True
UK752261110050,110050,youngstock,0,2023-02-22,1,True
UK752261110057,110057,youngstock,0,2023-03-02,None,False
UK752261110064,110064,youngstock,0,2023-03-06,None,False
UK752261110071,110071,youngstock,0,2023-03-09,None,False
UK752261110078,110078,youngstock,0,2023-03-12,None,False
UK752261110085,110085,youngstock,0,2023-03-15,None,False
UK752261110099,110099,youngstock,0,2023-03-20,None,False
UK752261110106,110106,youngstock,0,2023-03-24,None,False
UK752261110113,110113,youngstock,0,2023-03-27,2,True
UK752261110120,110120,youngstock,0,2023-04-03,None,False
UK752261110134,110134,youngstock,0,2023-04-15,2,True
UK752261110141,110141,youngstock,0,2023-04-20,None,False
UK752261110148,110148,youngstock,0,2023-04-22,2,True
UK752261110155,110155,youngstock,0,2023-04-25,None,False
UK752261110162,110162,youngstock,0,2023-04-29,None,False
UK752261110169,110169,youngstock,0,2023-05-03,2,True
UK752261110176,110176,youngstock,0,2023-05-11,2,True
UK752261110183,110183,youngstock,0,2023-05-14,None,False
UK752261110190,110190,youngstock,0,2023-05-19,1,True
UK752261110204,110204,youngstock,0,2023-05-28,1,True
UK752261110211,110211,youngstock,0,2023-05-31,1,True
UK752261110218,110218,youngstock,0,2023-06-05,2,True
UK752261110225,110225,youngstock,0,2023-06-05,None,False
UK752261110239,110239,youngstock,0,2023-06-09,None,False
UK752261110253,110253,youngstock,0,2023-06-15,None,False
UK752261110260,110260,youngstock,0,2023-06-20,1,True
UK752261110267,110267,youngstock,0,2023-06-25,2,True
UK752261110274,110274,youngstock,0,2023-06-29,None,False
UK752261110288,110288,youngstock,0,2023-07-08,None,False
UK752261110295,110295,youngstock,0,2023-07-18,None,False
UK752261110302,110302,youngstock,0,2023-07-22,None,False
UK752261110309,110309,youngstock,0,2023-07-23,2,True
UK752261110316,110316,youngstock,0,2023-07-27,1,True
UK752261110323,110323,youngstock,0,2023-07-29,None,False
UK752261110337,110337,youngstock,0,2023-08-05,1,True
UK752261110344,110344,youngstock,0,2023-08-08,None,False
UK752261110351,110351,youngstock,0,2023-08-12,None,False
UK752261110358,110358,youngstock,0,2023-08-13,None,False
UK752261110365,110365,youngstock,0,2023-08-15,None,False
UK752261110372,110372,youngstock,0,2023-08-16,None,False
UK752261110379,110379,youngstock,0,2023-08-18,None,False
UK752261110386,110386,youngstock,0,2023-08-20,1,True
UK752261110393,110393,youngstock,0,2023-08-22,None,False
UK752261110400,110400,youngstock,0,2023-08-25,None,False
UK752261110407,110407,youngstock,0,2023-08-27,None,False
UK752261110414,110414,youngstock,0,2023-08-30,1,True
UK752261110421,110421,youngstock,0,2023-09-02,1,True
UK752261110428,110428,youngstock,0,2023-09-08,1,True
UK752261110435,110435,youngstock,0,2023-09-12,1,True
UK752261110442,110442,youngstock,0,2023-09-14,1,True
UK752261110449,110449,youngstock,0,2023-09-17,None,False
UK752261110456,110456,youngstock,0,2023-09-23,None,False
UK752261110463,110463,youngstock,0,2023-09-26,1,True
UK752261110470,110470,youngstock,0,2023-10-02,1,True
UK752261110477,110477,youngstock,0,2023-10-05,None,False
UK752261110484,110484,youngstock,0,2023-10-08,1,True
UK752261110491,110491,youngstock,0,2023-10-14,1,True
UK752261110498,110498,youngstock,0,2023-10-17,None,False
UK752261110603,110603,youngstock,0,2023-10-20,1,True
UK752261110610,110610,youngstock,0,2023-10-22,1,True
UK752261110617,110617,youngstock,0,2023-10-24,1,True
UK752261110624,110624,youngstock,0,2023-10-28,1,True
UK752261110631,110631,youngstock,0,2023-10-31,1,True
UK752261110638,110638,youngstock,0,2023-11-02,1,True
UK752261110645,110645,youngstock,0,2023-11-03,None,False
UK752261110652,110652,youngstock,0,2023-11-06,1,True
UK752261110659,110659,youngstock,0,2023-11-07,1,True
UK752261110666,110666,youngstock,0,2023-11-09,1,True
UK752261110673,110673,youngstock,0,2023-11-11,1,True
UK752261110680,110680,youngstock,0,2023-11-16,1,True
UK752261110687,110687,youngstock,0,2023-11-18,1,True
UK752261110694,110694,youngstock,0,2023-11-25,None,False
UK752261110701,110701,youngstock,0,2023-11-27,None,False
UK752261110708,110708,youngstock,0,2023-11-30,1,True
UK752261110715,110715,youngstock,0,2023-12-03,None,False
UK752261110722,110722,youngstock,0,2023-12-08,None,False
UK752261110729,110729,youngstock,0,2023-12-11,None,False
UK752261110736,110736,youngstock,0,2023-12-14,1,True
UK752261110743,110743,youngstock,0,2023-12-15,1,True
UK752261110750,110750,youngstock,0,2023-12-19,1,True
UK752261110757,110757,youngstock,0,2023-12-22,None,False
UK752261110764,110764,youngstock,0,2023-12-25,None,False
UK752261110778,110778,youngstock,0,2023-12-31,1,True
UK752261110785,110785,youngstock,0,2024-01-04,1,True
UK752261110792,110792,youngstock,0,2024-01-05,None,False
UK752261110799,110799,youngstock,0,2024-01-09,1,True
UK752261110904,110904,youngstock,0,2024-01-11,1,True
UK752261110925,110925,youngstock,0,2024-01-23,1,True
UK752261110932,110932,youngstock,0,2024-01-27,1,True
UK752261110939,110939,youngstock,0,2024-01-29,1,True
UK752261110946,110946,youngstock,0,2024-02-02,1,True
UK752261110953,110953,youngstock,0,2024-02-05,1,True
UK752261110960,110960,youngstock,0,2024-02-08,None,False
UK752261110967,110967,youngstock,0,2024-02-10,1,True
UK752261110974,110974,youngstock,0,2024-02-14,1,True
UK752261110981,110981,youngstock,0,2024-02-16,1,True
UK752261110988,110988,youngstock,0,2024-02-21,1,True
UK752261110995,110995,youngstock,0,2024-02-26,1,True
UK752261111002,111002,youngstock,0,2024-02-28,1,True
UK752261111009,111009,youngstock,0,2024-03-04,1,True
UK752261111016,111016,youngstock,0,2024-03-09,1,True
UK752261111023,111023,youngstock,0,2024-03-18,None,False
UK752261111030,111030,youngstock,0,2024-03-24,1,True
UK752261111037,111037,youngstock,0,2024-03-29,1,True
UK752261111044,111044,youngstock,0,2024-04-01,1,True
UK752261111051,111051,youngstock,0,2024-04-05,None,False
UK752261111058,111058,youngstock,0,2024-04-11,None,False
UK752261111065,111065,youngstock,0,2024-04-16,1,True
UK752261111072,111072,youngstock,0,2024-04-19,1,True
UK752261111079,111079,youngstock,0,2024-04-25,None,False
UK752261111093,111093,youngstock,0,2024-05-01,1,True
UK752261111100,111100,youngstock,0,2024-05-04,None,False
UK752261111205,111205,youngstock,0,2024-05-06,1,True
UK752261111212,111212,youngstock,0,2024-05-08,None,False
UK752261111219,111219,youngstock,0,2024-05-10,0,True
UK752261111226,111226,youngstock,0,2024-05-13,1,True
UK752261111233,111233,youngstock,0,2024-05-17,1,True
UK752261111240,111240,youngstock,0,2024-05-22,None,False
UK752261111254,111254,youngstock,0,2024-06-01,1,True
UK752261111261,111261,youngstock,0,2024-06-06,None,False
UK752261111282,111282,youngstock,0,2024-06-21,None,False
UK752261111303,111303,youngstock,0,2024-07-08,None,False
UK752261111310,111310,youngstock,0,2024-07-11,0,True
UK752261111317,111317,youngstock,0,2024-07-15,0,True
UK752261111324,111324,youngstock,0,2024-07-18,1,True
UK752261111331,111331,youngstock,0,2024-07-20,0,True
UK752261111366,111366,youngstock,0,2024-08-04,0,True
UK752261111373,111373,youngstock,0,2024-08-06,0,True
UK752261111380,111380,youngstock,0,2024-08-09,0,True
UK752261111387,111387,youngstock,0,2024-08-13,0,True
UK752261111394,111394,youngstock,0,2024-08-16,0,True
UK752261111401,111401,youngstock,0,2024-08-17,0,True
UK752261111408,111408,youngstock,0,2024-08-24,0,True
UK752261111415,111415,youngstock,0,2024-08-25,0,True
UK752261111422,111422,youngstock,0,2024-08-31,0,True
UK752261111429,111429,youngstock,0,2024-09-04,0,True
UK752261111436,111436,youngstock,0,2024-09-06,0,True
UK752261111443,111443,youngstock,0,2024-09-13,0,True
UK752261111450,111450,youngstock,0,2024-09-18,0,True
UK752261111457,111457,youngstock,0,2024-09-20,0,True
UK752261111464,111464,youngstock,0,2024-09-22,0,True
UK752261111471,111471,youngstock,0,2024-09-25,0,True
UK752261111478,111478,youngstock,0,2024-09-26,0,True
UK752261111485,111485,youngstock,0,2024-09-30,0,True
UK752261111492,111492,youngstock,0,2024-10-02,0,True
UK752261111499,111499,youngstock,0,2024-10-04,0,True
UK752261111604,111604,youngstock,0,2024-10-06,0,True
UK752261111611,111611,youngstock,0,2024-10-10,0,True
UK752261111618,111618,youngstock,0,2024-10-12,0,True
UK752261111625,111625,youngstock,0,2024-10-14,0,True
UK752261111632,111632,youngstock,0,2024-10-16,0,True
UK752261111639,111639,youngstock,0,2024-10-18,0,True
UK752261111646,111646,youngstock,0,2024-10-24,0,True
UK752261111653,111653,youngstock,0,2024-10-29,None,False
UK752261111660,111660,youngstock,0,2024-11-01,0,True
UK752261111667,111667,youngstock,0,2024-11-03,0,True
UK752261111674,111674,youngstock,0,2024-11-05,0,True
UK752261111681,111681,youngstock,0,2024-11-08,0,True
UK752261111688,111688,youngstock,0,2024-11-12,0,True
UK752261111695,111695,youngstock,0,2024-11-16,0,True
UK752261111702,111702,youngstock,0,2024-11-22,0,True
UK752261111709,111709,youngstock,0,2024-11-25,0,True
UK752261111716,111716,youngstock,0,2024-11-27,0,True
UK752261111723,111723,youngstock,0,2024-11-29,0,True
UK752261111730,111730,youngstock,0,2024-12-06,None,False
UK752261111737,111737,youngstock,0,2024-12-09,0,True
UK752261111744,111744,youngstock,0,2024-12-12,None,False
UK752261111751,111751,youngstock,0,2024-12-17,0,True
UK752261111758,111758,youngstock,0,2024-12-20,0,True
UK752261111765,111765,youngstock,0,2024-12-23,None,False
UK752261111772,111772,youngstock,0,2024-12-29,0,True
UK752261111779,111779,youngstock,0,2024-12-31,0,True
UK752261209323,123,youngstock,0,2022-02-15,None,False
UK752261209365,361,youngstock,0,2022-03-17,None,False
UK752261209722,21750,youngstock,1,2022-10-16,None,False
UK752261209750,209750,youngstock,0,2022-10-31,2,True
UK752261209918,949,youngstock,0,2022-12-12,None,False
UK752261209995,209995,youngstock,0,2023-01-17,None,False
UK752261210009,210009,youngstock,0,2023-01-28,None,False
UK752261210016,828,youngstock,0,2023-02-03,None,False
UK752261210030,210030,youngstock,0,2023-02-11,2,True
UK752261210044,210044,youngstock,0,2023-02-18,None,False
UK752261210058,210058,youngstock,0,2023-03-03,None,False
UK752261210065,224,youngstock,0,2023-03-06,None,False
UK752261210072,210072,youngstock,0,2023-03-09,None,False
UK752261210079,210079,youngstock,0,2023-03-12,2,True
UK752261210086,210086,youngstock,0,2023-03-15,1,True
UK752261210100,210100,youngstock,0,2023-03-20,None,False
UK752261210107,210107,youngstock,0,2023-03-24,2,True
UK752261210114,210114,youngstock,0,2023-03-28,None,False
UK752261210121,210121,youngstock,0,2023-04-04,None,False
UK752261210128,210128,youngstock,0,2023-04-08,None,False
UK752261210135,210135,youngstock,0,2023-04-15,None,False
UK752261210142,210142,youngstock,0,2023-04-20,None,False
UK752261210149,210149,youngstock,0,2023-04-22,1,True
UK752261210163,210163,youngstock,0,2023-04-30,1,True
UK752261210177,210177,youngstock,0,2023-05-11,1,True
UK752261210184,210184,youngstock,0,2023-05-15,1,True
UK752261210191,210191,youngstock,0,2023-05-19,None,False
UK752261210198,210198,youngstock,0,2023-05-26,1,True
UK752261210205,210205,youngstock,0,2023-05-28,1,True
UK752261210212,210212,youngstock,0,2023-05-31,None,False
UK752261210219,210219,youngstock,0,2023-06-05,None,False
UK752261210226,210226,youngstock,0,2023-06-06,None,False
UK752261210233,210233,youngstock,0,2023-06-08,1,True
UK752261210254,210254,youngstock,0,2023-06-16,1,True
UK752261210261,210261,youngstock,0,2023-06-20,None,False
UK752261210268,210268,youngstock,0,2023-06-25,2,True
UK752261210275,210275,youngstock,0,2023-07-01,1,True
UK752261210282,210282,youngstock,0,2023-07-06,1,True
UK752261210289,210289,youngstock,0,2023-07-10,1,True
UK752261210296,210296,youngstock,0,2023-07-19,1,True
UK752261210303,210303,youngstock,0,2023-07-22,1,True
UK752261210310,210310,youngstock,0,2023-07-24,None,False
UK752261210317,210317,youngstock,0,2023-07-27,1,True
UK752261210324,210324,youngstock,0,2023-07-29,None,False
UK752261210331,210331,youngstock,0,2023-08-03,2,True
UK752261210338,210338,youngstock,0,2023-08-05,1,True
UK752261210345,210345,youngstock,0,2023-08-09,None,False
UK752261210352,210352,youngstock,0,2023-08-12,1,True
UK752261210359,210359,youngstock,0,2023-08-13,1,True
UK752261210366,210366,youngstock,0,2023-08-15,None,False
UK752261210373,210373,youngstock,0,2023-08-17,None,False
UK752261210380,210380,youngstock,0,2023-08-19,None,False
UK752261210387,210387,youngstock,0,2023-08-20,1,True
UK752261210394,210394,youngstock,0,2023-08-22,1,True
UK752261210401,210401,youngstock,0,2023-08-26,None,False
UK752261210408,210408,youngstock,0,2023-08-27,1,True
UK752261210415,210415,youngstock,0,2023-08-30,1,True
UK752261210422,210422,youngstock,0,2023-09-03,1,True
UK752261210429,210429,youngstock,0,2023-09-08,1,True
UK752261210436,210436,youngstock,0,2023-09-12,None,False
UK752261210443,210443,youngstock,0,2023-09-14,None,False
UK752261210450,210450,youngstock,0,2023-09-17,1,True
UK752261210457,210457,youngstock,0,2023-09-24,None,False
UK752261210464,210464,youngstock,0,2023-09-27,None,False
UK752261210471,210471,youngstock,0,2023-10-02,None,False
UK752261210478,210478,youngstock,0,2023-10-06,None,False
UK752261210485,210485,youngstock,0,2023-10-08,None,False
UK752261210492,210492,youngstock,0,2023-10-14,None,False
UK752261210499,210499,youngstock,0,2023-10-18,1,True
UK752261210604,210604,youngstock,0,2023-10-20,1,True
UK752261210611,210611,youngstock,0,2023-10-22,None,False
UK752261210618,210618,youngstock,0,2023-10-25,1,True
UK752261210625,210625,youngstock,0,2023-10-28,1,True
UK752261210632,210632,youngstock,0,2023-11-01,1,True
UK752261210639,210639,youngstock,0,2023-11-02,None,False
UK752261210646,210646,youngstock,0,2023-11-05,1,True
UK752261210653,210653,youngstock,0,2023-11-06,1,True
UK752261210660,210660,youngstock,0,2023-11-08,None,False
UK752261210667,210667,youngstock,0,2023-11-10,None,False
UK752261210674,210674,youngstock,0,2023-11-13,None,False
UK752261210681,210681,youngstock,0,2023-11-16,None,False
UK752261210688,210688,youngstock,0,2023-11-20,None,False
UK752261210695,210695,youngstock,0,2023-11-25,None,False
UK752261210702,210702,youngstock,0,2023-11-27,1,True
UK752261210709,210709,youngstock,0,2023-11-30,1,True
UK752261210716,210716,youngstock,0,2023-12-04,1,True
UK752261210723,210723,youngstock,0,2023-12-08,None,False
UK752261210730,210730,youngstock,0,2023-12-12,None,False
UK752261210737,210737,youngstock,0,2023-12-14,1,True
UK752261210744,210744,youngstock,0,2023-12-16,None,False
UK752261210751,210751,youngstock,0,2023-12-20,1,True
UK752261210758,210758,youngstock,0,2023-12-22,None,False
UK752261210765,210765,youngstock,0,2023-12-25,1,True
UK752261210772,210772,youngstock,0,2023-12-27,1,True
UK752261210779,210779,youngstock,0,2024-01-01,1,True
UK752261210786,210786,youngstock,0,2024-01-04,None,False
UK752261210800,210800,youngstock,0,2024-01-09,1,True
UK752261210905,210905,youngstock,0,2024-01-11,1,True
UK752261210912,210912,youngstock,0,2024-01-12,1,True
UK752261210919,210919,youngstock,0,2024-01-20,1,True
UK752261210926,210926,youngstock,0,2024-01-23,None,False
UK752261210933,210933,youngstock,0,2024-01-27,1,True
UK752261210940,210940,youngstock,0,2024-01-29,None,False
UK752261210947,210947,youngstock,0,2024-02-14,1,True
UK752261210954,210954,youngstock,0,2024-02-06,None,False
UK752261210968,210968,youngstock,0,2024-02-11,1,True
UK752261210975,210975,youngstock,0,2024-02-14,None,False
UK752261210982,210982,youngstock,0,2024-02-18,1,True
UK752261210989,210989,youngstock,0,2024-02-22,None,False
UK752261210996,210996,youngstock,0,2024-02-26,None,False
UK752261211003,211003,youngstock,0,2024-02-28,None,False
UK752261211010,211010,youngstock,0,2024-03-05,1,True
UK752261211024,211024,youngstock,0,2024-03-18,1,True
UK752261211031,211031,youngstock,0,2024-03-26,1,True
UK752261211038,211038,youngstock,0,2024-03-29,None,False
UK752261211045,211045,youngstock,0,2024-04-02,1,True
UK752261211052,211052,youngstock,0,2024-04-05,1,True
UK752261211059,211059,youngstock,0,2024-04-11,1,True
UK752261211066,211066,youngstock,0,2024-04-16,None,False
UK752261211073,211073,youngstock,0,2024-04-19,1,True
UK752261211080,211080,youngstock,0,2024-04-25,1,True
UK752261211087,211087,youngstock,0,2024-04-29,1,True
UK752261211213,211213,youngstock,0,2024-05-08,None,False
UK752261211220,211220,youngstock,0,2024-05-10,1,True
UK752261211227,211227,youngstock,0,2024-05-14,None,False
UK752261211234,211234,youngstock,0,2024-05-18,1,True
UK752261211241,211241,youngstock,0,2024-05-22,1,True
UK752261211248,211248,youngstock,0,2024-05-27,1,True
UK752261211311,211311,youngstock,0,2024-07-11,None,False
UK752261211332,211332,youngstock,0,2024-07-20,0,True
UK752261211346,211346,youngstock,0,2024-07-28,0,True
UK752261211367,211367,youngstock,0,2024-08-05,0,True
UK752261211381,211381,youngstock,0,2024-08-10,0,True
UK752261211388,211388,youngstock,0,2024-08-13,0,True
UK752261211395,211395,youngstock,0,2024-08-16,0,True
UK752261211402,211402,youngstock,0,2024-08-17,0,True
UK752261211409,211409,youngstock,0,2024-08-24,0,True
UK752261211416,211416,youngstock,0,2024-08-25,0,True
UK752261211423,211423,youngstock,0,2024-09-01,0,True
UK752261211430,211430,youngstock,0,2024-09-04,0,True
UK752261211437,211437,youngstock,0,2024-09-08,0,True
UK752261211444,211444,youngstock,0,2024-09-13,0,True
UK752261211451,211451,youngstock,0,2024-09-18,0,True
UK752261211458,211458,youngstock,0,2024-09-20,None,False
UK752261211465,211465,youngstock,0,2024-09-23,0,True
UK752261211472,211472,youngstock,0,2024-09-25,0,True
UK752261211479,211479,youngstock,0,2024-09-27,0,True
UK752261211486,211486,youngstock,0,2024-10-01,0,True
UK752261211493,211493,youngstock,0,2024-10-02,0,True
UK752261211500,211500,youngstock,0,2024-10-04,0,True
UK752261211605,211605,youngstock,0,2024-10-06,0,True
UK752261211612,211612,youngstock,0,2024-10-10,0,True
UK752261211619,211619,youngstock,0,2024-10-13,None,False
UK752261211626,211626,youngstock,0,2024-10-15,0,True
UK752261211633,211633,youngstock,0,2024-10-17,0,True
UK752261211640,211640,youngstock,0,2024-10-19,0,True
UK752261211647,211647,youngstock,0,2024-10-24,None,False
UK752261211654,211654,youngstock,0,2024-10-29,0,True
UK752261211661,211661,youngstock,0,2024-11-02,0,True
UK752261211668,211668,youngstock,0,2024-11-03,0,True
UK752261211675,211675,youngstock,0,2024-11-06,0,True
UK752261211682,211682,youngstock,0,2024-11-09,0,True
UK752261211689,211689,youngstock,0,2024-11-13,0,True
UK752261211696,211696,youngstock,0,2024-11-16,None,False
UK752261211703,211703,youngstock,0,2024-11-22,None,False
UK752261211710,211710,youngstock,0,2024-11-25,0,True
UK752261211717,211717,youngstock,0,2024-11-27,0,True
UK752261211724,211724,youngstock,0,2024-11-30,0,True
UK752261211731,211731,youngstock,0,2024-12-07,0,True
UK752261211738,211738,youngstock,0,2024-12-09,0,True
UK752261211745,211745,youngstock,0,2024-12-12,0,True
UK752261211752,211752,youngstock,0,2024-12-17,0,True
UK752261211766,211766,youngstock,0,2024-12-24,0,True
UK752261211773,211773,youngstock,0,2024-12-29,0,True
UK752261308883,89,youngstock,0,2021-12-06,None,False
UK752261309037,309037,youngstock,0,2022-01-01,3,True
UK752261309373,309373,youngstock,0,2022-03-26,3,True
UK752261309968,309968,youngstock,0,2023-01-01,None,False
UK752261309982,817,youngstock,0,2023-01-09,None,False
UK752261309989,309989,youngstock,0,2023-01-11,None,False
UK752261309996,309996,youngstock,0,2023-01-18,None,False
UK752261310003,487,youngstock,0,2023-01-26,None,False
UK752261310010,310010,youngstock,0,2023-01-30,None,False
UK752261310017,310017,youngstock,0,2023-02-03,None,False
